Question,Answer
What is the price of the Samsung Galaxy S22?,The Samsung Galaxy S22 is priced at $799.
How many hours of battery life does the iPhone 14 have?,The iPhone 14 offers up to 20 hours of battery life.
Is the LG OLED TV compatible with HDR?,"Yes, the LG OLED TV supports HDR formats like Dolby Vision and HDR10."
Does the Sony PlayStation 5 come with a disc drive?,"Yes, the Sony PlayStation 5 comes with a disc drive, but there is also a digital edition."
Can I connect my Bose headphones to my laptop via Bluetooth?,"Yes, Bose headphones can be connected to your laptop using Bluetooth."
What is the screen size of the Dell XPS 13 laptop?,The Dell XPS 13 laptop has a 13.4-inch screen.
Does the Amazon Echo support smart home devices?,"Yes, Amazon Echo can control compatible smart home devices."
What is the storage capacity of the Nintendo Switch?,"The Nintendo Switch has 32GB of internal storage, which can be expanded using a microSD card."
Is the Samsung Galaxy Watch 5 water-resistant?,"Yes, the Samsung Galaxy Watch 5 is water-resistant up to 50 meters."
What is the weight of the MacBook Air M2?,The MacBook Air M2 weighs approximately 2.7 pounds.
Can the Sony WH-1000XM4 headphones be used for noise-canceling?,"Yes, the Sony WH-1000XM4 has excellent noise-canceling capabilities."
How much RAM does the Microsoft Surface Pro 8 have?,The Microsoft Surface Pro 8 comes with up to 32GB of RAM.
Is the Canon EOS 5D Mark IV a good camera for professional photography?,"Yes, the Canon EOS 5D Mark IV is widely used by professional photographers."
Does the Apple iPad Pro support the Apple Pencil?,"Yes, the iPad Pro supports the second-generation Apple Pencil."
Can I use my Sony Xperia phone with a wireless charger?,"Yes, the Sony Xperia supports Qi wireless charging."
What is the resolution of the Samsung QLED 4K TV?,The Samsung QLED 4K TV offers a 3840x2160 resolution.
Does the Logitech G502 Hero have customizable buttons?,"Yes, the Logitech G502 Hero gaming mouse has customizable buttons."
How many speakers are in the Sonos Arc soundbar?,The Sonos Arc soundbar features 11 high-performance speakers.
Is the Fitbit Charge 5 waterproof?,"Yes, the Fitbit Charge 5 is waterproof up to 50 meters."
Does the HP Spectre x360 come with a stylus?,"Yes, the HP Spectre x360 comes with an optional stylus."
What is the battery life of the Microsoft Surface Headphones 2?,The Microsoft Surface Headphones 2 offers up to 20 hours of battery life.
Can I use my Roku device without a subscription?,"Yes, you can use a Roku device without a subscription, but you may need to subscribe to some channels for content."
Is the Samsung Galaxy Buds Live compatible with iPhones?,"Yes, Samsung Galaxy Buds Live can be paired with iPhones via Bluetooth."
Does the Panasonic Lumix GH5 support 4K video recording?,"Yes, the Panasonic Lumix GH5 supports 4K video recording at 60 fps."
What is the price of the Apple Watch Series 7?,The Apple Watch Series 7 starts at $399.
Can the GoPro HERO 10 be used underwater?,"Yes, the GoPro HERO 10 is waterproof up to 33 feet without a housing."
Does the Xiaomi Mi Smart Band 6 support heart rate monitoring?,"Yes, the Xiaomi Mi Smart Band 6 includes heart rate monitoring."
What type of display does the OnePlus 9 Pro have?,The OnePlus 9 Pro features an AMOLED display with a 120Hz refresh rate.
Is the Sony A7 III camera good for low light photography?,"Yes, the Sony A7 III is known for its excellent low-light performance."
Can I use my LG refrigerator with a smart home assistant?,"Yes, many LG refrigerators are compatible with Amazon Alexa and Google Assistant."
Does the Bose SoundLink Revolve have a built-in microphone?,"Yes, the Bose SoundLink Revolve has a built-in microphone for voice calls."
What is the price of the Xbox Series X?,The Xbox Series X is priced at $499.
How long does the battery last on the Oculus Quest 2?,The Oculus Quest 2 offers 2 to 3 hours of battery life depending on the usage.
Is the Sony WH-1000XM4 compatible with voice assistants?,"Yes, the Sony WH-1000XM4 supports both Google Assistant and Alexa."
Does the Apple AirPods Pro support active noise cancellation?,"Yes, the Apple AirPods Pro comes with active noise cancellation."
What is the storage capacity of the iPhone 13?,"The iPhone 13 is available in storage options of 128GB, 256GB, and 512GB."
Does the Xiaomi Redmi Note 11 have an AMOLED display?,"Yes, the Xiaomi Redmi Note 11 has an AMOLED display."
What is the weight of the Sony PlayStation 5?,The Sony PlayStation 5 weighs about 9.9 pounds.
Is the HP Envy 13 laptop suitable for gaming?,"While the HP Envy 13 is not primarily a gaming laptop, it can handle light gaming."
How much storage does the Apple Mac Pro offer?,The Apple Mac Pro offers up to 8TB of storage.
Can the DJI Mini 2 drone be flown indoors?,"Yes, the DJI Mini 2 can be flown indoors, but make sure you have enough space."
Does the Samsung Galaxy Tab S7 support 5G?,"Yes, the Samsung Galaxy Tab S7 supports 5G in its LTE variant."
What is the screen resolution of the LG UltraGear 27GN950?,The LG UltraGear 27GN950 features a 4K UHD resolution (3840x2160).
How many ports does the MacBook Pro 16-inch have?,The MacBook Pro 16-inch has three Thunderbolt 4 ports.
Can the Apple TV 4K stream in 4K resolution?,"Yes, the Apple TV 4K supports 4K resolution with HDR."
Does the Canon EOS R5 support 8K video recording?,"Yes, the Canon EOS R5 can record in 8K video at 30 fps."
What is the battery life of the Samsung Galaxy Z Fold 4?,The Samsung Galaxy Z Fold 4 has a battery life of up to 20 hours.
Is the Kindle Paperwhite waterproof?,"Yes, the Kindle Paperwhite is waterproof, rated IPX8."
Can the DJI Air 2S be used for professional filmmaking?,"Yes, the DJI Air 2S has professional-level camera features for filmmaking."
Does the Huawei P40 Pro support 5G?,"Yes, the Huawei P40 Pro supports 5G connectivity."
What is the display refresh rate of the Asus ROG Strix G15?,The Asus ROG Strix G15 has a 144Hz refresh rate display.
Does the Samsung Galaxy A53 have a microSD card slot?,"Yes, the Samsung Galaxy A53 has a microSD card slot for expandable storage."
How many channels does the Yamaha YAS-209 soundbar support?,The Yamaha YAS-209 soundbar supports 2.1 channels.
Is the Logitech C920 webcam good for streaming?,"Yes, the Logitech C920 webcam is popular for streaming with its 1080p resolution."
What is the weight of the Bose QuietComfort 35 II?,The Bose QuietComfort 35 II weighs 8.3 ounces.
Does the LG Gram 17 laptop support a touchscreen?,"Yes, the LG Gram 17 has a touchscreen display."
Is the Sony Xperia 1 II camera good for video recording?,"Yes, the Sony Xperia 1 II has exceptional video recording features."
What is the storage capacity of the Google Pixel 6?,The Google Pixel 6 comes in 128GB and 256GB storage variants.
Does the Dyson V11 vacuum have a HEPA filter?,"Yes, the Dyson V11 vacuum is equipped with a HEPA filter."
How long is the charging time for the Nintendo Switch?,The Nintendo Switch typically takes around 3 hours to fully charge.
What is the price of the Lenovo ThinkPad X1 Carbon?,"The Lenovo ThinkPad X1 Carbon starts at $1,299."
Does the Jabra Elite 75t have active noise cancellation?,"Yes, the Jabra Elite 75t offers active noise cancellation."
Can the Microsoft Xbox Series S play physical discs?,"No, the Xbox Series S is a digital-only console and does not support physical discs."
What is the screen size of the Acer Predator X34?,The Acer Predator X34 has a 34-inch curved display.
Does the Garmin Forerunner 945 support GPS?,"Yes, the Garmin Forerunner 945 has built-in GPS."
What type of charging does the iPhone 12 use?,The iPhone 12 uses a lightning connector for charging.
Is the Huawei MateBook 14 suitable for gaming?,"While the Huawei MateBook 14 is a good laptop, it's not primarily designed for gaming."
How many colors are available for the Google Pixel 6?,"The Google Pixel 6 comes in three colors: Stormy Black, Kinda Coral, and Sorta Seafoam."
Does the Oculus Rift S require a PC?,"Yes, the Oculus Rift S requires a compatible PC to operate."
Is the Fujifilm X-T4 camera suitable for vlogging?,"Yes, the Fujifilm X-T4 is great for vlogging with its flip-out screen and 4K video."
What is the refresh rate of the Samsung Odyssey G7 monitor?,The Samsung Odyssey G7 monitor has a 240Hz refresh rate.
Can I control my Philips Hue lights with voice commands?,"Yes, Philips Hue lights can be controlled via Amazon Alexa or Google Assistant."
What is the battery life of the Garmin Venu 2?,The Garmin Venu 2 offers up to 11 days of battery life in smartwatch mode.
Does the Bose QuietComfort 35 II support voice assistants?,"Yes, the Bose QuietComfort 35 II supports Google Assistant and Amazon Alexa."
How many games can be stored on the PlayStation 4 1TB?,"A PlayStation 4 with 1TB of storage can store approximately 20-30 games, depending on their size."
Is the Samsung Galaxy S21 5G?,"Yes, the Samsung Galaxy S21 supports 5G connectivity."
What is the price of the iPhone SE (2020)?,The iPhone SE (2020) starts at $399.
Does the Lenovo Legion 5 Pro have an AMD Ryzen processor?,"Yes, the Lenovo Legion 5 Pro features an AMD Ryzen processor."
Can I charge my iPhone 12 wirelessly?,"Yes, the iPhone 12 supports wireless charging via MagSafe or Qi chargers."
Is the Google Nest Thermostat compatible with Alexa?,"Yes, the Google Nest Thermostat is compatible with Amazon Alexa."
How many ports does the Mac Mini M1 have?,The Mac Mini M1 has two Thunderbolt 3 ports and two USB-A ports.
Does the DJI Mini 3 have obstacle sensors?,"Yes, the DJI Mini 3 comes with obstacle sensors for safer flying."
Is the Samsung Galaxy Watch 4 compatible with iOS?,"Yes, the Samsung Galaxy Watch 4 is compatible with iPhones running iOS 8.0 or later."
Does the LG Velvet 5G support wireless charging?,"Yes, the LG Velvet 5G supports wireless charging."
What type of camera does the Google Pixel 5 have?,The Google Pixel 5 features a 12.2 MP dual-pixel camera and a 16 MP ultrawide camera.
Can the Huawei FreeBuds Pro be used with both Android and iOS?,"Yes, the Huawei FreeBuds Pro can connect to both Android and iOS devices."
What is the weight of the Fitbit Sense?,The Fitbit Sense weighs 1.59 ounces.
