Question,Answer
What is the price of the new washing machine?,The price of the new washing machine is $350.
Do you offer free delivery for the refrigerator?,"Yes, we offer free delivery for refrigerators within a 20-mile radius."
Can I return the blender if it doesn't meet my expectations?,"Yes, you can return the blender within 30 days of purchase."
How long is the warranty on the microwave?,The microwave comes with a 1-year warranty.
Is the vacuum cleaner energy-efficient?,"Yes, our vacuum cleaner is certified as energy-efficient."
Do you have any discounts on air conditioners?,"Currently, we are offering a 10% discount on air conditioners."
How do I set up my new coffee maker?,You can find the setup instructions in the manual that comes with the coffee maker.
Does the toaster have a defrost function?,"Yes, the toaster comes with a defrost function."
Can I extend the warranty on my dishwasher?,"Yes, you can extend the warranty for an additional 2 years."
Do you sell water filters for refrigerators?,"Yes, we sell water filters that are compatible with most refrigerator models."
Is the oven easy to clean?,"Yes, the oven has a self-cleaning function for easy maintenance."
Do you have smart refrigerators?,"Yes, we offer a range of smart refrigerators with Wi-Fi connectivity."
What colors are available for the air purifier?,"The air purifier is available in white, black, and silver."
Can I get a refund if the product is defective?,"Yes, we offer full refunds for defective products."
What is the capacity of the washing machine?,The washing machine has a capacity of 7 kg.
Do you offer installation services for dishwashers?,"Yes, we provide installation services for dishwashers at an additional cost."
Is the juicer dishwasher-safe?,"Yes, the juicer is dishwasher-safe."
Do you sell replacement parts for coffee makers?,"Yes, we sell replacement parts for all models of coffee makers."
Can I check the stock availability online?,"Yes, you can check stock availability on our website."
How long does delivery take?,Delivery typically takes 5-7 business days.
What size refrigerators do you have?,We have refrigerators in sizes ranging from 100L to 600L.
Is the microwave suitable for a small kitchen?,"Yes, we have compact microwaves ideal for small kitchens."
Are the vacuum cleaners bagless?,"Yes, most of our vacuum cleaners are bagless."
What is the warranty for the electric kettle?,The electric kettle comes with a 1-year warranty.
Can I change the color of my ordered washing machine?,"Unfortunately, we cannot change the color once the order is placed."
Do you offer financing options for large appliances?,"Yes, we offer financing options with flexible monthly payments."
Does the fridge have a freezer compartment?,"Yes, all our fridges come with a freezer compartment."
Is the slow cooker suitable for large families?,"Yes, our slow cookers are designed to accommodate large families."
How do I clean the air purifier filter?,You can clean the air purifier filter by rinsing it under cold water and letting it dry.
Is the toaster easy to use?,"Yes, the toaster has simple controls for easy use."
Can I use the washing machine without detergent?,"No, detergent is necessary for optimal cleaning performance."
Does the dishwasher have a sanitize cycle?,"Yes, the dishwasher includes a sanitize cycle for deep cleaning."
What is the energy consumption of the refrigerator?,Our refrigerators are energy-efficient and consume about 300 kWh annually.
Are the blenders quiet?,"Yes, our blenders operate with reduced noise compared to other models."
Can I track my order online?,"Yes, you can track your order through our website."
What is the price of the coffee grinder?,The coffee grinder is priced at $40.
Do you offer a loyalty program?,"Yes, we have a loyalty program that rewards you with discounts for every purchase."
What is the best air conditioner for a 500 square foot room?,"The best air conditioner for a 500 square foot room is a 12,000 BTU model."
Is the hairdryer travel-sized?,"Yes, we offer travel-sized hairdryers for convenience."
Do you sell water dispensers?,"Yes, we have both hot and cold water dispensers available."
Is the juicer good for hard fruits?,"Yes, our juicer is designed to handle hard fruits like apples and carrots."
Can I buy an extended warranty for the washing machine?,"Yes, you can purchase an extended warranty for the washing machine."
Does the blender have a pulse function?,"Yes, the blender comes with a pulse function."
Are the electric fans energy-efficient?,"Yes, our electric fans are designed to be energy-efficient."
How can I contact customer support?,"You can contact our customer support via phone, email, or live chat."
What is the return policy for large appliances?,Large appliances can be returned within 14 days of purchase.
Do you offer gift cards?,"Yes, we offer gift cards in various denominations."
What is the weight of the microwave?,The microwave weighs approximately 20 pounds.
Are the washing machines front-loading?,"Yes, we have both front-loading and top-loading washing machines."
