Question,Answer
he still charges you that hundred dollars.  /,that's a nice area.  /
"{D Well, } {F um, } [ [ t-, + i-, ] + I'm ] research stuff here now  /","If it's random, then it's random -- /"
"{C And } Dallas is pretty, {F uh, }  /",# Uh-huh.  # /
"but, anyway.  /",Exactly.  /
Right. /,"{C But } I think maybe a lot of them, {F um, } - /"
-- # eighty something.  # /,"{C and } I think, # -/"
Uh-huh.  /,"All right,  /"
"-- {C and } ] the kids got to go around and, {D you know, } see pigs and animals and  things like that,  /",one doesn't go in July <laughter>. /
# It is. # /,Uh-huh. /
"{C but } [ [ I don't, + I, ] + I wasn't ] really aware of it's being, {D you know, } terribly, {F uh, } {D you know, }  ((   ))  at the time [ that, + that ] I was down there,  /","{D Well, } McNeil <<mispronounced>>, [ Neil-, + ] and Lehrer, - /"
Yeah <throat_clearing>.  /,I never sat there and got a direct translation  /
"{C And, } {F um, } he's blind  /","<<Very faint>>, yeah. /"
"it's   just, -/",Yeah. /
Yeah.  /,"Katy, I'm on the phone.  /"
"[ {C and, } + {C and } ] we haven't had a typical fall at all.  /","We, -/"
"{C But } once they get established, then it's a money saving thing. /",# Uh-huh. # /
"{F uh, } it, -/",Okay. /
"Cool,  /","{F Uh, } one of the drawbacks, I think, of working for a big company, is often times, you do have to follow pretty rigid, {F um, } <throat_clearing> guidelines,  /"
"{D Well } [ wh-, + ] do you think that, {F uh, } consumer [ goods, + goods  ] are generally getting better, or worse in quality? /","[ I, + I ] prefer to watch, {F um, } - /"
"I don't know personally, {D you know, }  /","It does,  /"
Uh-huh. /,"[ I, + I ]  ((   )) , # -/"
"-- that's just ] <throat_clearing>, -/","{C but } then after I would say my point of view, then they'll say, {D well, } yeah,  /"
Uh-huh.  /,"{C But } I don't think the U S would get involved with it because, {F uh, } there's too close of ties to where I think they understand that Gorbachev is trying to make a change, and that we cannot run them like we run the U S --"
"Yeah,  /",They said he will not go back --
"[ I, + I've ]  been doing it for twenty some odd years. /","Yeah, /"
"{C So, } {F uh, } I, -/","{E I mean, } I, - /"
"Uh, the one, the most valueless girl doesn't,  /",Uh-huh. /
{C and } he has one in his car. /,"[ I don't, + I don't ] think  that's right  because all's that's going to do is say, {F Oh, } {D well, } {D you know, }  that was a breeze,  /"
"{F Oh, } I don't even have,  [ ge-, + ] time to read the newspaper except in passing, -/",You ready for that? /
Okay? /,{C and } they've had some drive-by shootings outside of the schools. /
"I like a lot, {D like, }  /",<Laughter>.
"In a lot of cases I think you're treated more like a number instead of [ a, + a ] person. /",Yeah.  /
"Yeah,  /","{D Well, } I've really enjoyed the conversation.  /"
"[ We, + we ]  go hunting every once in a while  /","other, {D you know, } -/"
"[ R-, + right. ] /",{D Well } you can always get up and leave that <laughter>. /
"I'm not so sure what kind of, {F uh, } training that is for the future for those kids. /",I have people here that I know that have never registered to vote. /
We never had any in the house -- /,"{F Oh, } that's a problem. /"
"Yeah,  /",yeah  /
