,Question,Answer
0,What is the price of the Samsung Galaxy S22?,The Samsung Galaxy S22 is priced at $799.
1,How many hours of battery life does the iPhone 14 have?,The iPhone 14 offers up to 20 hours of battery life.
2,Is the LG OLED TV compatible with HDR?,"Yes, the LG OLED TV supports HDR formats like Dolby Vision and HDR10."
3,Does the Sony PlayStation 5 come with a disc drive?,"Yes, the Sony PlayStation 5 comes with a disc drive, but there is also a digital edition."
4,Can I connect my Bose headphones to my laptop via Bluetooth?,"Yes, Bose headphones can be connected to your laptop using Bluetooth."
5,What is the screen size of the Dell XPS 13 laptop?,The Dell XPS 13 laptop has a 13.4-inch screen.
6,Does the Amazon Echo support smart home devices?,"Yes, Amazon Echo can control compatible smart home devices."
7,What is the storage capacity of the Nintendo Switch?,"The Nintendo Switch has 32GB of internal storage, which can be expanded using a microSD card."
8,Is the Samsung Galaxy Watch 5 water-resistant?,"Yes, the Samsung Galaxy Watch 5 is water-resistant up to 50 meters."
9,What is the weight of the MacBook Air M2?,The MacBook Air M2 weighs approximately 2.7 pounds.
10,Can the Sony WH-1000XM4 headphones be used for noise-canceling?,"Yes, the Sony WH-1000XM4 has excellent noise-canceling capabilities."
11,How much RAM does the Microsoft Surface Pro 8 have?,The Microsoft Surface Pro 8 comes with up to 32GB of RAM.
12,Is the Canon EOS 5D Mark IV a good camera for professional photography?,"Yes, the Canon EOS 5D Mark IV is widely used by professional photographers."
13,Does the Apple iPad Pro support the Apple Pencil?,"Yes, the iPad Pro supports the second-generation Apple Pencil."
14,Can I use my Sony Xperia phone with a wireless charger?,"Yes, the Sony Xperia supports Qi wireless charging."
15,What is the resolution of the Samsung QLED 4K TV?,The Samsung QLED 4K TV offers a 3840x2160 resolution.
16,Does the Logitech G502 Hero have customizable buttons?,"Yes, the Logitech G502 Hero gaming mouse has customizable buttons."
17,How many speakers are in the Sonos Arc soundbar?,The Sonos Arc soundbar features 11 high-performance speakers.
18,Is the Fitbit Charge 5 waterproof?,"Yes, the Fitbit Charge 5 is waterproof up to 50 meters."
19,Does the HP Spectre x360 come with a stylus?,"Yes, the HP Spectre x360 comes with an optional stylus."
20,What is the battery life of the Microsoft Surface Headphones 2?,The Microsoft Surface Headphones 2 offers up to 20 hours of battery life.
21,Can I use my Roku device without a subscription?,"Yes, you can use a Roku device without a subscription, but you may need to subscribe to some channels for content."
22,Is the Samsung Galaxy Buds Live compatible with iPhones?,"Yes, Samsung Galaxy Buds Live can be paired with iPhones via Bluetooth."
23,Does the Panasonic Lumix GH5 support 4K video recording?,"Yes, the Panasonic Lumix GH5 supports 4K video recording at 60 fps."
24,What is the price of the Apple Watch Series 7?,The Apple Watch Series 7 starts at $399.
25,Can the GoPro HERO 10 be used underwater?,"Yes, the GoPro HERO 10 is waterproof up to 33 feet without a housing."
26,Does the Xiaomi Mi Smart Band 6 support heart rate monitoring?,"Yes, the Xiaomi Mi Smart Band 6 includes heart rate monitoring."
27,What type of display does the OnePlus 9 Pro have?,The OnePlus 9 Pro features an AMOLED display with a 120Hz refresh rate.
28,Is the Sony A7 III camera good for low light photography?,"Yes, the Sony A7 III is known for its excellent low-light performance."
29,Can I use my LG refrigerator with a smart home assistant?,"Yes, many LG refrigerators are compatible with Amazon Alexa and Google Assistant."
30,Does the Bose SoundLink Revolve have a built-in microphone?,"Yes, the Bose SoundLink Revolve has a built-in microphone for voice calls."
31,What is the price of the Xbox Series X?,The Xbox Series X is priced at $499.
32,How long does the battery last on the Oculus Quest 2?,The Oculus Quest 2 offers 2 to 3 hours of battery life depending on the usage.
33,Is the Sony WH-1000XM4 compatible with voice assistants?,"Yes, the Sony WH-1000XM4 supports both Google Assistant and Alexa."
34,Does the Apple AirPods Pro support active noise cancellation?,"Yes, the Apple AirPods Pro comes with active noise cancellation."
35,What is the storage capacity of the iPhone 13?,"The iPhone 13 is available in storage options of 128GB, 256GB, and 512GB."
36,Does the Xiaomi Redmi Note 11 have an AMOLED display?,"Yes, the Xiaomi Redmi Note 11 has an AMOLED display."
37,What is the weight of the Sony PlayStation 5?,The Sony PlayStation 5 weighs about 9.9 pounds.
38,Is the HP Envy 13 laptop suitable for gaming?,"While the HP Envy 13 is not primarily a gaming laptop, it can handle light gaming."
39,How much storage does the Apple Mac Pro offer?,The Apple Mac Pro offers up to 8TB of storage.
40,Can the DJI Mini 2 drone be flown indoors?,"Yes, the DJI Mini 2 can be flown indoors, but make sure you have enough space."
41,Does the Samsung Galaxy Tab S7 support 5G?,"Yes, the Samsung Galaxy Tab S7 supports 5G in its LTE variant."
42,What is the screen resolution of the LG UltraGear 27GN950?,The LG UltraGear 27GN950 features a 4K UHD resolution (3840x2160).
43,How many ports does the MacBook Pro 16-inch have?,The MacBook Pro 16-inch has three Thunderbolt 4 ports.
44,Can the Apple TV 4K stream in 4K resolution?,"Yes, the Apple TV 4K supports 4K resolution with HDR."
45,Does the Canon EOS R5 support 8K video recording?,"Yes, the Canon EOS R5 can record in 8K video at 30 fps."
46,What is the battery life of the Samsung Galaxy Z Fold 4?,The Samsung Galaxy Z Fold 4 has a battery life of up to 20 hours.
47,Is the Kindle Paperwhite waterproof?,"Yes, the Kindle Paperwhite is waterproof, rated IPX8."
48,Can the DJI Air 2S be used for professional filmmaking?,"Yes, the DJI Air 2S has professional-level camera features for filmmaking."
49,Does the Huawei P40 Pro support 5G?,"Yes, the Huawei P40 Pro supports 5G connectivity."
50,What is the display refresh rate of the Asus ROG Strix G15?,The Asus ROG Strix G15 has a 144Hz refresh rate display.
51,Does the Samsung Galaxy A53 have a microSD card slot?,"Yes, the Samsung Galaxy A53 has a microSD card slot for expandable storage."
52,How many channels does the Yamaha YAS-209 soundbar support?,The Yamaha YAS-209 soundbar supports 2.1 channels.
53,Is the Logitech C920 webcam good for streaming?,"Yes, the Logitech C920 webcam is popular for streaming with its 1080p resolution."
54,What is the weight of the Bose QuietComfort 35 II?,The Bose QuietComfort 35 II weighs 8.3 ounces.
55,Does the LG Gram 17 laptop support a touchscreen?,"Yes, the LG Gram 17 has a touchscreen display."
56,Is the Sony Xperia 1 II camera good for video recording?,"Yes, the Sony Xperia 1 II has exceptional video recording features."
57,What is the storage capacity of the Google Pixel 6?,The Google Pixel 6 comes in 128GB and 256GB storage variants.
58,Does the Dyson V11 vacuum have a HEPA filter?,"Yes, the Dyson V11 vacuum is equipped with a HEPA filter."
