Question,Answer
he still charges you that hundred dollars  ,thats a nice area  
D Well  F um    t  i   Im  research stuff here now  ,If its random then its random  
C And  Dallas is pretty F uh   , Uhhuh   
but anyway  ,Exactly  
Right ,C But  I think maybe a lot of them F um   
  eighty something   ,C and  I think  
Uhhuh  ,All right  
 C and   the kids got to go around and D you know  see pigs and animals and  things like that  ,one doesnt go in July laughter 
 It is  ,Uhhuh 
C but    I dont  I   I wasnt  really aware of its being D you know  terribly F uh  D you know        at the time  that  that  I was down there  ,D Well  McNeil mispronounced  Neil   and Lehrer  
Yeah throatclearing  ,I never sat there and got a direct translation  
C And  F um  hes blind  ,Very faint yeah 
its   just ,Yeah 
Yeah  ,Katy Im on the phone  
 C and   C and   we havent had a typical fall at all  ,We 
C But  once they get established then its a money saving thing , Uhhuh  
F uh  it ,Okay 
Cool  ,F Uh  one of the drawbacks I think of working for a big company is often times you do have to follow pretty rigid F um  throatclearing guidelines  
D Well   wh   do you think that F uh  consumer  goods  goods   are generally getting better or worse in quality , I  I  prefer to watch F um   
I dont know personally D you know   ,It does  
Uhhuh , I  I         
 thats just  throatclearing ,C but  then after I would say my point of view then theyll say D well  yeah  
Uhhuh  ,C But  I dont think the U S would get involved with it because F uh  theres too close of ties to where I think they understand that Gorbachev is trying to make a change and that we cannot run them like we run the U S 
Yeah  ,They said he will not go back 
 I  Ive   been doing it for twenty some odd years ,Yeah 
C So  F uh  I ,E I mean  I  
Uh the one the most valueless girl doesnt  ,Uhhuh 
C and  he has one in his car , I dont  I dont  think  thats right  because alls thats going to do is say F Oh  D well  D you know   that was a breeze  
F Oh  I dont even have   ge   time to read the newspaper except in passing ,You ready for that 
Okay ,C and  theyve had some driveby shootings outside of the schools 
I like a lot D like   ,Laughter
In a lot of cases I think youre treated more like a number instead of  a  a  person ,Yeah  
Yeah  ,D Well  Ive really enjoyed the conversation  
 We  we   go hunting every once in a while  ,other D you know  
 R  right  ,D Well  you can always get up and leave that laughter 
Im not so sure what kind of F uh  training that is for the future for those kids ,I have people here that I know that have never registered to vote 
We never had any in the house  ,F Oh  thats a problem 
Yeah  ,yeah  
  Its  hes a design   hes a engineer  designing stuff ,D like  thats a little more a casual thing  
D Well  these are tough  , about wives that refused to go to work and how their husbands thought they were terrible  
C so  that ,D You know  theres a lot of places in the states that we havent even gone 
This is hardly almost June ,okay   
D well  in the cities  , been  to a lot  
I had to put that in ,right  
Thats very true ,F uh   it  it  really is worth while to sew 
which is a joke ,F Oh  yeah  
C and   they just do  they dont  care as much , citizen 
C or  Ive got my P C configured to where I can use either printer   The one thats on  the network or my own , that  was kind of a surprise throatclearing   
Right ,C because  I used to live in F uh  Massachusetts  
C and  one of my fifth graders last year came up to me and said sounds highpitched like a childs voice my moms making me get rid of the bird  ,Its just like 
A lot of times ,the idea  of  of  F uh   
I do ,C but  its nice light reading laughter  
Exactly   ,Right 
